identif;fecha;intensidad;ocupacion;carga;tipo;vmed;error;periodo_integracion
65404;2/10/13 3:30;4;0;0;F;0;N;5
65502;2/10/13 3:30;16;0;1;F;0;N;5
66010;2/10/13 3:30;0;0;0;F;0;N;5
66011;2/10/13 3:30;4;0;1;F;0;N;5
66012;2/10/13 3:30;12;9;5;F;0;N;5
66013;2/10/13 3:30;8;0;1;F;0;N;5
66014;2/10/13 3:30;4;0;1;F;0;N;5
66016;2/10/13 3:30;48;0;1;F;0;N;5
66502;2/10/13 3:30;12;0;1;F;0;N;5
67001;2/10/13 3:30;8;0;0;F;0;N;5
69003;2/10/13 3:30;8;0;4;F;0;N;5
70010;2/10/13 3:30;0;0;0;F;0;N;5
70403;2/10/13 3:30;8;6;2;F;0;N;5
70501;2/10/13 3:30;0;0;1;F;0;N;5
70502;2/10/13 3:30;0;0;1;F;0;N;5
70503;2/10/13 3:30;32;0;2;F;0;N;5
70504;2/10/13 3:30;28;0;1;F;0;N;5
70506;2/10/13 3:30;68;0;1;F;0;N;5
70509;2/10/13 3:30;50;0;1;F;0;N;5
71001;2/10/13 3:30;60;0;2;F;0;N;5
71002;2/10/13 3:30;68;0;3;F;0;N;5
71016;2/10/13 3:30;16;0;0;F;0;N;5
71018;2/10/13 3:30;44;0;0;F;0;N;5
71019;2/10/13 3:30;20;0;2;F;0;N;5
71020;2/10/13 3:30;12;0;0;F;0;N;5
71021;2/10/13 3:30;32;0;2;F;0;N;5
71028;2/10/13 3:30;12;0;1;F;0;N;5
71029;2/10/13 3:30;16;0;2;F;0;N;5
71030;2/10/13 3:30;16;0;2;F;0;N;5
71032;2/10/13 3:30;36;1;4;F;0;N;5
71033;2/10/13 3:30;0;0;0;F;0;N;5
71034;2/10/13 3:30;36;0;1;F;0;N;5
71035;2/10/13 3:30;20;1;5;F;0;N;5
71036;2/10/13 3:30;12;1;2;F;0;N;5
79014;2/10/13 3:30;8;0;0;F;0;N;5
79025;2/10/13 3:30;8;0;0;F;0;N;5
79026;2/10/13 3:30;48;0;1;F;0;N;5
79027;2/10/13 3:30;20;0;0;F;0;N;5
79028;2/10/13 3:30;12;0;1;F;0;N;5
79029;2/10/13 3:30;8;0;0;F;0;N;5
79030;2/10/13 3:30;8;0;0;F;0;N;5
79031;2/10/13 3:30;0;0;0;F;0;N;5
79032;2/10/13 3:30;12;0;1;F;0;N;5
79401;2/10/13 3:30;0;0;0;F;0;N;5
25030;2/10/13 3:30;0;0;0;G;0;N;3
25025;2/10/13 3:30;15;7;8;G;0;N;4
26007;2/10/13 3:30;0;0;0;G;0;N;4
25021;2/10/13 3:30;24;0;1;G;0;N;5
25022;2/10/13 3:30;24;1;2;G;0;E;5
25023;2/10/13 3:30;24;1;2;G;0;N;5
25024;2/10/13 3:30;72;1;4;G;0;N;5
25026;2/10/13 3:30;24;13;14;G;0;N;5
25032;2/10/13 3:30;12;1;2;G;0;N;5
25033;2/10/13 3:30;24;1;2;G;0;E;5
25034;2/10/13 3:30;96;2;4;G;0;N;5
26017;2/10/13 3:30;48;0;1;G;0;N;5
26020;2/10/13 3:30;80;0;1;G;0;E;5
26021;2/10/13 3:30;72;1;2;G;0;E;5
27002;2/10/13 3:30;0;0;0;G;0;N;3
26027;2/10/13 3:30;0;0;0;G;0;N;4
26026;2/10/13 3:30;0;0;0;G;0;E;3
26028;2/10/13 3:30;0;0;0;G;0;N;5
26029;2/10/13 3:30;36;0;2;G;0;E;5
27004;2/10/13 3:30;36;1;3;G;0;N;5
27005;2/10/13 3:30;15;1;2;G;0;N;4
27006;2/10/13 3:30;36;1;3;G;0;N;5
27007;2/10/13 3:30;0;0;0;G;0;N;3
28015;2/10/13 3:30;0;0;0;G;0;N;3
28022;2/10/13 3:30;0;0;0;G;0;N;3
28035;2/10/13 3:30;0;0;0;G;0;N;3
28011;2/10/13 3:30;0;0;0;G;0;N;3
36006;2/10/13 3:30;0;0;0;G;0;N;4
36008;2/10/13 3:30;0;0;0;G;0;N;4
27032;2/10/13 3:30;24;0;1;G;0;E;5
28008;2/10/13 3:30;36;2;4;G;0;N;5
28012;2/10/13 3:30;0;0;0;G;0;N;4
28013;2/10/13 3:30;0;0;0;G;0;N;3
28019;2/10/13 3:30;0;0;0;G;0;E;4
39008;2/10/13 3:30;0;0;0;G;0;N;5
39044;2/10/13 3:30;0;0;0;G;0;N;4
39011;2/10/13 3:30;24;0;1;G;0;E;5
39017;2/10/13 3:30;48;1;3;G;0;N;5
39020;2/10/13 3:30;54;1;2;G;0;E;5
39023;2/10/13 3:30;20;1;2;G;0;N;3
39024;2/10/13 3:30;96;3;6;G;0;N;5
39034;2/10/13 3:30;12;0;0;G;0;E;5
39041;2/10/13 3:30;0;0;0;G;0;N;4
58001;2/10/13 3:30;0;0;0;G;0;N;3
58004;2/10/13 3:30;0;0;0;G;0;N;3
58006;2/10/13 3:30;0;0;0;G;0;N;3
58016;2/10/13 3:30;15;1;2;G;0;N;4
83001;2/10/13 3:30;9;0;1;G;0;E;4
39052;2/10/13 3:30;0;0;0;G;0;E;5
39054;2/10/13 3:30;36;1;3;G;0;N;5
39055;2/10/13 3:30;12;2;3;G;0;N;5
58002;2/10/13 3:30;12;0;1;G;0;N;5
58003;2/10/13 3:30;0;0;0;G;0;N;5
58005;2/10/13 3:30;0;0;0;G;0;N;5
87005;2/10/13 3:30;0;0;0;G;0;E;4
87007;2/10/13 3:30;0;0;0;G;0;N;4
87006;2/10/13 3:30;30;1;2;G;0;E;4
87008;2/10/13 3:30;0;0;0;G;0;E;5
87015;2/10/13 3:30;24;0;2;G;0;N;5
87019;2/10/13 3:30;36;1;2;G;0;N;5
87020;2/10/13 3:30;36;2;4;G;0;N;5
87021;2/10/13 3:30;24;0;1;G;0;E;5
87023;2/10/13 3:30;96;2;8;G;0;N;5
94001;2/10/13 3:30;48;1;2;G;0;N;5
19006;2/10/13 3:30;44;31;31;C;0;N;5
19007;2/10/13 3:30;99;0;3;C;0;N;5
19008;2/10/13 3:30;54;2;5;C;0;N;5
19018;2/10/13 3:30;27;30;31;C;0;N;5
21001;2/10/13 3:30;54;1;2;C;0;N;5
21007;2/10/13 3:30;54;2;5;C;0;N;5
PM10021;2/10/13 3:30;192;0;3;M;82;N;5
PM10091;2/10/13 3:30;168;1;3;M;83;N;5
PM10092;2/10/13 3:30;12;0;0;M;17;N;5
PM10141;2/10/13 3:30;84;0;1;M;72;N;5
PM10142;2/10/13 3:30;1488;0;30;M;89;N;5
PM10211;2/10/13 3:30;228;1;4;M;90;N;5
PM10212;2/10/13 3:30;72;0;1;M;59;N;5
PM10241;2/10/13 3:30;216;1;3;M;106;N;5
PM10242;2/10/13 3:30;156;0;2;M;55;N;5
PM10341;2/10/13 3:30;192;1;4;M;87;N;5
PM10342;2/10/13 3:30;72;0;1;M;52;N;5
PM10343;2/10/13 3:30;12;0;1;M;20;N;5
PM10344;2/10/13 3:30;36;0;1;M;49;N;5
PM10401;2/10/13 3:30;144;0;1;M;87;N;5
PM10402;2/10/13 3:30;108;0;1;M;93;N;5
PM10441;2/10/13 3:30;144;0;2;M;90;N;5
PM10442;2/10/13 3:30;24;0;1;M;38;N;5
PM104431;2/10/13 3:30;36;0;2;M;34;N;5
PM10444;2/10/13 3:30;0;0;0;M;0;N;5
PM104541;2/10/13 3:30;12;1;1;M;2;N;5
PM10471;2/10/13 3:30;120;0;2;M;71;N;5
PM10472;2/10/13 3:30;60;0;1;M;64;N;5
PM104841;2/10/13 3:30;0;0;0;M;0;N;5
PM10501;2/10/13 3:30;120;0;2;M;70;N;5
PM10502;2/10/13 3:30;276;0;2;M;83;N;5
PM10561;2/10/13 3:30;216;0;4;M;91;N;5
PM10562;2/10/13 3:30;216;0;3;M;94;N;5
PM10611;2/10/13 3:30;228;1;3;M;89;N;5
PM10612;2/10/13 3:30;264;0;6;M;93;N;5
PM10013;2/10/13 3:30;72;0;1;M;58;N;5
PM10711;2/10/13 3:30;312;1;4;M;93;N;5
PM10712;2/10/13 3:30;240;0;4;M;97;N;5
PM107231;2/10/13 3:30;36;1;2;M;15;N;5
PM10754;2/10/13 3:30;204;0;3;M;68;N;5
PM107631;2/10/13 3:30;12;0;0;M;11;N;5
PM107641;2/10/13 3:30;48;0;0;M;33;N;5
PM107642;2/10/13 3:30;36;0;1;M;23;N;5
PM10831;2/10/13 3:30;288;1;3;M;92;N;5
PM10832;2/10/13 3:30;264;0;3;M;87;N;5
PM10861;2/10/13 3:30;228;0;3;M;93;N;5
PM10862;2/10/13 3:30;216;0;3;M;84;N;5
PM10865;2/10/13 3:30;120;0;3;M;78;N;5
PM10901;2/10/13 3:30;252;1;4;M;94;N;5
PM10902;2/10/13 3:30;192;0;3;M;86;N;5
PM10907;2/10/13 3:30;0;0;0;M;0;N;5
PM10941;2/10/13 3:30;252;0;4;M;93;N;5
PM10942;2/10/13 3:30;24;0;1;M;33;N;5
PM10945;2/10/13 3:30;180;1;8;M;64;N;5
PM10948;2/10/13 3:30;24;0;1;M;28;N;5
PM10981;2/10/13 3:30;336;1;5;M;91;N;5
PM10982;2/10/13 3:30;60;0;1;M;44;N;5
PM10985;2/10/13 3:30;36;0;1;M;47;N;5
PM11071;2/10/13 3:30;360;1;4;M;98;N;5
PM11074;2/10/13 3:30;72;0;3;M;79;N;5
PM11101;2/10/13 3:30;312;1;7;M;92;N;5
PM11102;2/10/13 3:30;36;0;2;M;41;N;5
PM11108;2/10/13 3:30;156;1;4;M;106;N;5
PM10662;2/10/13 3:30;252;0;3;M;88;N;5
PM11201;2/10/13 3:30;276;0;3;M;84;N;5
PM11208;2/10/13 3:30;72;2;3;M;49;N;5
PM11301;2/10/13 3:30;144;0;3;M;87;N;5
PM11303;2/10/13 3:30;72;1;2;M;35;N;5
PM11981;2/10/13 3:30;108;0;3;M;60;N;5
PM12061;2/10/13 3:30;96;0;2;M;76;N;5
PM12121;2/10/13 3:30;84;0;2;M;79;N;5
PM12122;2/10/13 3:30;12;0;1;M;14;N;5
PM12211;2/10/13 3:30;132;0;2;M;36;N;5
PM12241;2/10/13 3:30;156;0;2;M;71;N;5
PM12331;2/10/13 3:30;60;0;1;M;60;N;5
PM12342;2/10/13 3:30;48;0;1;M;58;N;5
PM12391;2/10/13 3:30;120;0;2;M;73;N;5
PM12471;2/10/13 3:30;48;0;1;M;56;N;5
PM12502;2/10/13 3:30;12;0;0;M;14;N;5
PM12571;2/10/13 3:30;60;0;1;M;60;N;5
PM12572;2/10/13 3:30;0;0;0;M;0;N;5
PM12622;2/10/13 3:30;12;0;0;M;18;N;5
PM12641;2/10/13 3:30;48;1;1;M;52;N;5
PM12721;2/10/13 3:30;48;0;1;M;54;N;5
PM12781;2/10/13 3:30;84;0;2;M;63;N;5
PM12851;2/10/13 3:30;36;6;6;M;34;N;5
PM12921;2/10/13 3:30;24;0;1;M;12;N;5
PM12961;2/10/13 3:30;48;1;1;M;22;N;5
PM12981;2/10/13 3:30;108;0;2;M;42;N;5
PM13011;2/10/13 3:30;108;1;3;M;33;N;5
PM13014;2/10/13 3:30;0;0;0;M;0;N;5
PM13041;2/10/13 3:30;48;1;2;M;43;N;5
PM13044;2/10/13 3:30;0;0;0;M;0;N;5
PM13101;2/10/13 3:30;108;1;3;M;65;N;5
PM13103;2/10/13 3:30;72;1;2;M;70;N;5
PM13104;2/10/13 3:30;0;0;0;M;0;N;5
PM11168;2/10/13 3:30;168;1;4;M;102;N;5
04FT14PM01;2/10/13 2:45;96;0;0;Z;34;N;5
04FT74PM01;2/10/13 2:45;204;0;0;Z;44;N;5
04TL40PM01;2/10/13 2:45;0;0;0;Z;0;N;5
04TL40PM02;2/10/13 2:45;96;-1;0;Z;52;N;5
04TL40PM03;2/10/13 2:45;0;0;0;Z;0;N;5
04TL40PM04;2/10/13 2:45;24;-1;0;Z;18;N;5
05FT10PM01;2/10/13 2:45;192;0;0;Z;60;N;5
05FT37PM01;2/10/13 2:45;156;0;0;Z;34;N;5
05FT66PM01;2/10/13 2:45;156;0;0;Z;37;N;5
