"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"55538";"2013-12-01 02:15:00";12;0;0;"F";0;"N";5
"55542";"2013-12-01 02:15:00";76;0;6;"F";0;"N";5
"55548";"2013-12-01 02:15:00";68;1;5;"F";0;"N";5
"56001";"2013-12-01 02:15:00";68;0;4;"F";0;"N";5
"56002";"2013-12-01 02:15:00";144;1;5;"F";0;"N";5
"56003";"2013-12-01 02:15:00";104;1;7;"F";0;"N";5
"56004";"2013-12-01 02:15:00";92;1;4;"F";0;"N";5
"56005";"2013-12-01 02:15:00";104;1;9;"F";0;"N";5
"56006";"2013-12-01 02:15:00";104;1;7;"F";0;"N";5
"56007";"2013-12-01 02:15:00";84;2;10;"F";0;"N";5
"56008";"2013-12-01 02:15:00";44;1;8;"F";0;"N";5
"56009";"2013-12-01 02:15:00";100;1;5;"F";0;"N";5
"56010";"2013-12-01 02:15:00";36;0;3;"F";0;"N";5
"56033";"2013-12-01 02:15:00";56;0;3;"F";0;"N";5
"56034";"2013-12-01 02:15:00";16;0;3;"F";0;"N";5
"56035";"2013-12-01 02:15:00";8;0;1;"F";0;"N";5
"56036";"2013-12-01 02:15:00";60;1;8;"F";0;"N";5
"56037";"2013-12-01 02:15:00";24;0;2;"F";0;"N";5
"56038";"2013-12-01 02:15:00";32;0;1;"F";0;"N";5
"56039";"2013-12-01 02:15:00";24;1;2;"F";0;"N";5
"56040";"2013-12-01 02:15:00";48;1;4;"F";0;"N";5
"56041";"2013-12-01 02:15:00";108;1;8;"F";0;"N";5
"56042";"2013-12-01 02:15:00";32;0;3;"F";0;"N";5
"56043";"2013-12-01 02:15:00";68;0;4;"F";0;"N";5
"56044";"2013-12-01 02:15:00";20;0;3;"F";0;"N";5
"56045";"2013-12-01 02:15:00";0;0;0;"F";0;"N";5
"56046";"2013-12-01 02:15:00";0;0;0;"F";0;"N";5
"56047";"2013-12-01 02:15:00";68;0;10;"F";0;"N";5
"57001";"2013-12-01 02:15:00";96;0;9;"F";0;"N";5
"57002";"2013-12-01 02:15:00";92;0;9;"F";0;"N";5
"57003";"2013-12-01 02:15:00";60;0;7;"F";0;"N";5
"57004";"2013-12-01 02:15:00";104;1;10;"F";0;"N";5
"57005";"2013-12-01 02:15:00";96;1;8;"F";0;"N";5
"56401";"2013-12-01 02:15:00";0;0;2;"F";0;"N";5
"56402";"2013-12-01 02:15:00";8;0;1;"F";0;"N";5
"56403";"2013-12-01 02:15:00";28;8;15;"F";0;"N";5
"56404";"2013-12-01 02:15:00";16;9;12;"F";0;"N";5
"56405";"2013-12-01 02:15:00";16;2;2;"F";0;"N";5
"56406";"2013-12-01 02:15:00";48;19;16;"F";0;"N";5
"56407";"2013-12-01 02:15:00";60;6;10;"F";0;"N";5
"56501";"2013-12-01 02:15:00";68;0;10;"F";0;"N";5
"57006";"2013-12-01 02:15:00";100;0;6;"F";0;"N";5
"57007";"2013-12-01 02:15:00";88;1;6;"F";0;"N";5
"57008";"2013-12-01 02:15:00";132;1;8;"F";0;"N";5
"57009";"2013-12-01 02:15:00";120;1;12;"F";0;"N";5
"57010";"2013-12-01 02:15:00";128;1;16;"F";0;"N";5
"57011";"2013-12-01 02:15:00";88;1;9;"F";0;"N";5
"57012";"2013-12-01 02:15:00";88;1;6;"F";0;"N";5
"57013";"2013-12-01 02:15:00";20;4;3;"F";0;"N";5
"57014";"2013-12-01 02:15:00";80;33;19;"F";0;"N";5
"57015";"2013-12-01 02:15:00";160;1;6;"F";0;"N";5
"57403";"2013-12-01 02:15:00";8;1;4;"F";0;"N";5
"57404";"2013-12-01 02:15:00";4;1;2;"F";0;"N";5
"57405";"2013-12-01 02:15:00";40;6;11;"F";0;"N";5
"57406";"2013-12-01 02:15:00";0;0;0;"F";0;"N";5
"57407";"2013-12-01 02:15:00";28;1;3;"F";0;"N";5
"57408";"2013-12-01 02:15:00";20;4;3;"F";0;"N";5
"59001";"2013-12-01 02:15:00";128;1;8;"F";0;"N";5
"59002";"2013-12-01 02:15:00";128;1;8;"F";0;"N";5
"59003";"2013-12-01 02:15:00";76;1;9;"F";0;"N";5
"59004";"2013-12-01 02:15:00";44;1;3;"F";0;"N";5
"59005";"2013-12-01 02:15:00";52;1;4;"F";0;"N";5
"59006";"2013-12-01 02:15:00";164;9;7;"F";0;"N";5
"59007";"2013-12-01 02:15:00";32;0;1;"F";0;"N";5
"59008";"2013-12-01 02:15:00";52;2;5;"F";0;"N";5
"59009";"2013-12-01 02:15:00";28;0;4;"F";0;"N";5
"64020";"2013-12-01 02:15:00";92;1;5;"F";0;"N";5
"64021";"2013-12-01 02:15:00";16;0;0;"F";0;"N";5
"64022";"2013-12-01 02:15:00";28;0;3;"F";0;"N";5
"64023";"2013-12-01 02:15:00";72;0;4;"F";0;"N";5
"64024";"2013-12-01 02:15:00";32;0;2;"F";0;"N";5
"64025";"2013-12-01 02:15:00";324;1;8;"F";0;"N";5
"64026";"2013-12-01 02:15:00";132;0;5;"F";0;"N";5
"64027";"2013-12-01 02:15:00";96;0;4;"F";0;"N";5
"64028";"2013-12-01 02:15:00";12;0;1;"F";0;"N";5
"64029";"2013-12-01 02:15:00";268;1;9;"F";0;"N";5
"64030";"2013-12-01 02:15:00";20;0;7;"F";0;"N";5
"64031";"2013-12-01 02:15:00";20;0;4;"F";0;"N";5
"64032";"2013-12-01 02:15:00";48;1;5;"F";0;"N";5
"64033";"2013-12-01 02:15:00";64;0;0;"F";0;"N";5
"64403";"2013-12-01 02:15:00";24;9;14;"F";0;"N";5
"65002";"2013-12-01 02:15:00";296;1;8;"F";0;"N";5
"65003";"2013-12-01 02:15:00";308;1;10;"F";0;"N";5
"65004";"2013-12-01 02:15:00";152;0;3;"F";0;"N";5
"65005";"2013-12-01 02:15:00";140;0;7;"F";0;"N";5
"65006";"2013-12-01 02:15:00";148;6;9;"F";0;"N";5
"65007";"2013-12-01 02:15:00";228;0;7;"F";0;"N";5
"65034";"2013-12-01 02:15:00";56;1;9;"F";0;"N";5
"65035";"2013-12-01 02:15:00";40;0;8;"F";0;"N";5
"65036";"2013-12-01 02:15:00";152;1;6;"F";0;"N";5
"65037";"2013-12-01 02:15:00";40;0;3;"F";0;"N";5
"70013";"2013-12-01 02:15:00";128;1;7;"F";0;"N";5
"70014";"2013-12-01 02:15:00";4;0;1;"F";0;"N";5
"70012";"2013-12-01 02:15:00";8;1;2;"F";0;"N";5
"70015";"2013-12-01 02:15:00";68;0;0;"F";0;"N";5
"70016";"2013-12-01 02:15:00";16;0;1;"F";0;"N";5
"70403";"2013-12-01 02:15:00";56;24;10;"F";0;"N";5
"70501";"2013-12-01 02:15:00";36;0;2;"F";0;"N";5
"70502";"2013-12-01 02:15:00";36;0;2;"F";0;"N";5
"70503";"2013-12-01 02:15:00";200;1;14;"F";0;"N";5
"70504";"2013-12-01 02:15:00";136;1;8;"F";0;"N";5
"70506";"2013-12-01 02:15:00";320;1;12;"F";0;"N";5
"PM12342";"2013-12-01 00:00:00";528;3;13;"M";79;"N";5
"PM12391";"2013-12-01 00:00:00";912;2;14;"M";93;"N";5
"PM12471";"2013-12-01 00:00:00";1068;2;12;"M";90;"N";5
"PM12502";"2013-12-01 00:00:00";540;1;9;"M";70;"N";5
"PM13202";"2013-12-01 00:00:00";1572;4;24;"M";84;"N";5
"PM13211";"2013-12-01 00:00:00";492;2;11;"M";67;"N";5
"PM20001";"2013-12-01 00:00:00";1440;2;21;"M";103;"N";5
"PM20002";"2013-12-01 00:00:00";132;1;7;"M";88;"N";5
"PM20021";"2013-12-01 00:00:00";912;2;14;"M";95;"N";5
"PM20025";"2013-12-01 00:00:00";216;2;10;"M";71;"N";5
"PM20026";"2013-12-01 00:00:00";1056;3;24;"M";79;"N";5
"PM20041";"2013-12-01 00:00:00";1656;4;25;"M";88;"N";5
"PM13014";"2013-12-01 00:00:00";132;2;7;"M";58;"N";5
"PM13041";"2013-12-01 00:00:00";444;7;23;"M";64;"N";5
"PM13044";"2013-12-01 00:00:00";84;2;5;"M";43;"N";5
"PM13101";"2013-12-01 00:00:00";888;7;23;"M";76;"N";5
