identif;fecha;intensidad;ocupacion;carga;tipo;vmed;error;periodo_integracion
55538;1/12/13 2:15;12;0;0;F;0;N;5
55542;1/12/13 2:15;76;0;6;F;0;N;5
55548;1/12/13 2:15;68;1;5;F;0;N;5
56001;1/12/13 2:15;68;0;4;F;0;N;5
56002;1/12/13 2:15;144;1;5;F;0;N;5
56003;1/12/13 2:15;104;1;7;F;0;N;5
56004;1/12/13 2:15;92;1;4;F;0;N;5
56005;1/12/13 2:15;104;1;9;F;0;N;5
56006;1/12/13 2:15;104;1;7;F;0;N;5
56007;1/12/13 2:15;84;2;10;F;0;N;5
56008;1/12/13 2:15;44;1;8;F;0;N;5
56009;1/12/13 2:15;100;1;5;F;0;N;5
56010;1/12/13 2:15;36;0;3;F;0;N;5
56033;1/12/13 2:15;56;0;3;F;0;N;5
56034;1/12/13 2:15;16;0;3;F;0;N;5
56035;1/12/13 2:15;8;0;1;F;0;N;5
56036;1/12/13 2:15;60;1;8;F;0;N;5
56037;1/12/13 2:15;24;0;2;F;0;N;5
56038;1/12/13 2:15;32;0;1;F;0;N;5
56039;1/12/13 2:15;24;1;2;F;0;N;5
56040;1/12/13 2:15;48;1;4;F;0;N;5
56041;1/12/13 2:15;108;1;8;F;0;N;5
56042;1/12/13 2:15;32;0;3;F;0;N;5
56043;1/12/13 2:15;68;0;4;F;0;N;5
56044;1/12/13 2:15;20;0;3;F;0;N;5
56045;1/12/13 2:15;0;0;0;F;0;N;5
56046;1/12/13 2:15;0;0;0;F;0;N;5
56047;1/12/13 2:15;68;0;10;F;0;N;5
57001;1/12/13 2:15;96;0;9;F;0;N;5
57002;1/12/13 2:15;92;0;9;F;0;N;5
57003;1/12/13 2:15;60;0;7;F;0;N;5
57004;1/12/13 2:15;104;1;10;F;0;N;5
57005;1/12/13 2:15;96;1;8;F;0;N;5
56401;1/12/13 2:15;0;0;2;F;0;N;5
56402;1/12/13 2:15;8;0;1;F;0;N;5
56403;1/12/13 2:15;28;8;15;F;0;N;5
56404;1/12/13 2:15;16;9;12;F;0;N;5
56405;1/12/13 2:15;16;2;2;F;0;N;5
56406;1/12/13 2:15;48;19;16;F;0;N;5
56407;1/12/13 2:15;60;6;10;F;0;N;5
56501;1/12/13 2:15;68;0;10;F;0;N;5
57006;1/12/13 2:15;100;0;6;F;0;N;5
57007;1/12/13 2:15;88;1;6;F;0;N;5
57008;1/12/13 2:15;132;1;8;F;0;N;5
57009;1/12/13 2:15;120;1;12;F;0;N;5
57010;1/12/13 2:15;128;1;16;F;0;N;5
57011;1/12/13 2:15;88;1;9;F;0;N;5
57012;1/12/13 2:15;88;1;6;F;0;N;5
57013;1/12/13 2:15;20;4;3;F;0;N;5
57014;1/12/13 2:15;80;33;19;F;0;N;5
57015;1/12/13 2:15;160;1;6;F;0;N;5
57403;1/12/13 2:15;8;1;4;F;0;N;5
57404;1/12/13 2:15;4;1;2;F;0;N;5
57405;1/12/13 2:15;40;6;11;F;0;N;5
57406;1/12/13 2:15;0;0;0;F;0;N;5
57407;1/12/13 2:15;28;1;3;F;0;N;5
57408;1/12/13 2:15;20;4;3;F;0;N;5
59001;1/12/13 2:15;128;1;8;F;0;N;5
59002;1/12/13 2:15;128;1;8;F;0;N;5
59003;1/12/13 2:15;76;1;9;F;0;N;5
59004;1/12/13 2:15;44;1;3;F;0;N;5
59005;1/12/13 2:15;52;1;4;F;0;N;5
59006;1/12/13 2:15;164;9;7;F;0;N;5
59007;1/12/13 2:15;32;0;1;F;0;N;5
59008;1/12/13 2:15;52;2;5;F;0;N;5
59009;1/12/13 2:15;28;0;4;F;0;N;5
64020;1/12/13 2:15;92;1;5;F;0;N;5
64021;1/12/13 2:15;16;0;0;F;0;N;5
64022;1/12/13 2:15;28;0;3;F;0;N;5
64023;1/12/13 2:15;72;0;4;F;0;N;5
64024;1/12/13 2:15;32;0;2;F;0;N;5
64025;1/12/13 2:15;324;1;8;F;0;N;5
64026;1/12/13 2:15;132;0;5;F;0;N;5
64027;1/12/13 2:15;96;0;4;F;0;N;5
64028;1/12/13 2:15;12;0;1;F;0;N;5
64029;1/12/13 2:15;268;1;9;F;0;N;5
64030;1/12/13 2:15;20;0;7;F;0;N;5
64031;1/12/13 2:15;20;0;4;F;0;N;5
64032;1/12/13 2:15;48;1;5;F;0;N;5
64033;1/12/13 2:15;64;0;0;F;0;N;5
64403;1/12/13 2:15;24;9;14;F;0;N;5
65002;1/12/13 2:15;296;1;8;F;0;N;5
65003;1/12/13 2:15;308;1;10;F;0;N;5
65004;1/12/13 2:15;152;0;3;F;0;N;5
65005;1/12/13 2:15;140;0;7;F;0;N;5
65006;1/12/13 2:15;148;6;9;F;0;N;5
65007;1/12/13 2:15;228;0;7;F;0;N;5
65034;1/12/13 2:15;56;1;9;F;0;N;5
65035;1/12/13 2:15;40;0;8;F;0;N;5
65036;1/12/13 2:15;152;1;6;F;0;N;5
65037;1/12/13 2:15;40;0;3;F;0;N;5
70013;1/12/13 2:15;128;1;7;F;0;N;5
70014;1/12/13 2:15;4;0;1;F;0;N;5
70012;1/12/13 2:15;8;1;2;F;0;N;5
70015;1/12/13 2:15;68;0;0;F;0;N;5
70016;1/12/13 2:15;16;0;1;F;0;N;5
70403;1/12/13 2:15;56;24;10;F;0;N;5
70501;1/12/13 2:15;36;0;2;F;0;N;5
70502;1/12/13 2:15;36;0;2;F;0;N;5
70503;1/12/13 2:15;200;1;14;F;0;N;5
70504;1/12/13 2:15;136;1;8;F;0;N;5
70506;1/12/13 2:15;320;1;12;F;0;N;5
PM12342;1/12/13 0:00;528;3;13;M;79;N;5
PM12391;1/12/13 0:00;912;2;14;M;93;N;5
PM12471;1/12/13 0:00;1068;2;12;M;90;N;5
PM12502;1/12/13 0:00;540;1;9;M;70;N;5
PM13202;1/12/13 0:00;1572;4;24;M;84;N;5
PM13211;1/12/13 0:00;492;2;11;M;67;N;5
PM20001;1/12/13 0:00;1440;2;21;M;103;N;5
PM20002;1/12/13 0:00;132;1;7;M;88;N;5
PM20021;1/12/13 0:00;912;2;14;M;95;N;5
PM20025;1/12/13 0:00;216;2;10;M;71;N;5
PM20026;1/12/13 0:00;1056;3;24;M;79;N;5
PM20041;1/12/13 0:00;1656;4;25;M;88;N;5
PM13014;1/12/13 0:00;132;2;7;M;58;N;5
PM13041;1/12/13 0:00;444;7;23;M;64;N;5
PM13044;1/12/13 0:00;84;2;5;M;43;N;5
PM13101;1/12/13 0:00;888;7;23;M;76;N;5
PM13103;1/12/13 0:00;480;3;12;M;89;N;5
PM13104;1/12/13 0:00;108;2;5;M;44;N;5
PM13181;1/12/13 0:00;660;2;15;M;77;N;5
PM32352;1/12/13 0:00;84;0;4;M;65;N;5
PM33031;1/12/13 0:00;636;6;18;M;91;N;5
PM33032;1/12/13 0:00;120;2;7;M;64;N;5
PM33151;1/12/13 0:00;1068;6;25;M;68;N;5
PM33152;1/12/13 0:00;840;4;20;M;68;N;5
PM33201;1/12/13 0:00;912;1;14;M;104;N;5
PM33202;1/12/13 0:00;120;1;5;M;84;N;5
PM33221;1/12/13 0:00;696;3;16;M;91;N;5
PM33222;1/12/13 0:00;84;1;4;M;49;N;5
PM40442;1/12/13 0:00;216;1;5;M;63;N;5
PM40461;1/12/13 0:00;1608;3;19;M;93;N;5
PM40751;1/12/13 0:00;336;1;15;M;95;N;5
PM40752;1/12/13 0:00;204;1;5;M;74;N;5
PM40753;1/12/13 0:00;36;0;2;M;42;N;5
PM40754;1/12/13 0:00;684;1;19;M;72;N;5
PM40755;1/12/13 0:00;180;1;8;M;79;N;5
PM40901;1/12/13 0:00;600;1;9;M;86;N;5
PM40902;1/12/13 0:00;120;1;5;M;50;N;5
PM41261;1/12/13 0:00;336;1;7;M;82;N;5
PM41262;1/12/13 0:00;132;0;3;M;71;N;5
PM43001;1/12/13 0:00;864;5;16;M;79;N;5
PM43011;1/12/13 0:00;660;4;13;M;90;N;5
PM43012;1/12/13 0:00;264;4;8;M;62;N;5
PM43021;1/12/13 0:00;480;2;9;M;88;N;5
PM43022;1/12/13 0:00;312;2;8;M;73;N;5
PM43031;1/12/13 0:00;468;3;9;M;81;N;5
PM41891;1/12/13 0:00;1284;5;29;M;96;N;5
PM41892;1/12/13 0:00;180;1;4;M;77;N;5
PM42051;1/12/13 0:00;264;0;6;M;66;N;5
PM42052;1/12/13 0:00;516;1;22;M;73;N;5
PM42351;1/12/13 0:00;1020;2;12;M;101;N;5
PM42352;1/12/13 0:00;168;1;8;M;78;N;5
